nome;rating;preco;pais;tipo;descricao;uvas;vinicola;olfativo;gustativo;harmonia;uva1;varietal;price;ano;consumo;texto
Maison Le Star Rosé On Ice;4.0;R$54,89;França;Rosé;Meio Seco/Demi-Sec;Grenache (70%), Syrah (5%), Cinsault (25%);Maison Le Star;Frutas vermelhas;Leve, acidez agradável, frutado, doçura média;Salada de frutos do mar, bruschettas e tapas, canapés, tabuas de frios e queijos, pizzas, ou simplesmente como aperitivo com cubos de gelo na taça.;Grenache;N;54.89;0;0;'França' 'Rosé' 'Meio Seco/Demi-Sec' 'Grenache'
El Bautismo Blend de Blancas Dulces 2019;4.0;R$42,90;Argentina;Branco;Suave/Doce;Pedro Giménez, Torrontés, Moscatel;La Liga de Enólogos;Frutas maduras, lichia, floral, mel;Frutado, doce, leve, boa acidez;Canapés com toque adocicado, bolo de massa branca, brie com mel, salada de frutas, abacaxi em calda, gorgonzola e roquefort.;Pedro Giménez;N;42.9;2019;0;'Argentina' 'Branco' 'Suave/Doce' 'Pedro Giménez'
Cloudy Bay Pinot Noir 2014;0.0;R$423,90;Nova Zelândia;Tinto;Seco;Pinot Noir (100%);Cloudy Bay;Ameixa madura, cereja negra, mirtilo, violeta, especiarias, tosta;Frutado, boa acidez, médio corpo, taninos macios;Cogumelos na gratinados, codorna recheada, atum em crosta de quinoa, presunto cru na ciabatta, talharim ao pomodoro, mignon com legumes assados.;Pinot Noir;S;423.9;2014;0;'Nova Zelândia' 'Tinto' 'Seco' 'Pinot Noir'
Navaldar D.O.Ca. Rioja Rosado 2018;0.0;R$61,91;Espanha;Rosé;Seco;Garnacha (100%);Bodegas D. Mateos;Notas sutis de vegetais, fresco, intenso e frutado (framboesa, morango e groselha).;Perfeito equilíbrio entre fruta e acidez, final delicado.;Peixes secos, arrozes, guisados, verduras grelhadas e cozinha oriental.;Garnacha;S;61.91;2018;0;'Espanha' 'Rosé' 'Seco' 'Garnacha'
Protos Roble D.O. Ribeira Del Duero 1.5L 2017;4.0;R$225,90;Espanha;Tinto;Seco;Tempranillo;Protos;Frutas vermelhas, vegetal, tosta;Médio corpo, taninos macios, acidez agradável, frutado;Maminha grelhada com molho chimichurri, churrasco, joelho de porco à pururuca, paella caipira, quibe de carne de soja assado, queijos semiduros.;Tempranillo;S;225.9;2017;0;'Espanha' 'Tinto' 'Seco' 'Tempranillo'
Champagne Moët & Chandon Impérial Rosé Brut com Black Tie Suit;0.0;R$554,91;França;Espumante;Brut;Pinot Noir (50.00%), Pinot Meunier (30.00%), Chardonnay (20.00%);Moët & Chandon;Frutas vermelhas, floral, chá de hibisco, brioche;Elegante, encorpado, cremoso, final longo;Camarões grelhados, lagosta, carpaccio, tartar de carne vermelha, vitela empanada, risoto de frutos do mar.;Pinot Noir;N;554.91;0;0;'França' 'Espumante' 'Brut' 'Pinot Noir'
Champagne Veuve Clicquot Rosé Brut com Caixa Call;0.0;R$709,90;França;Espumante;Brut;Pinot Noir, Pinot Meunier, Chardonnay;Veuve Clicquot;Morango, framboesa, amora, frutas secas, brioche;Estruturado, cremoso, frutado, boa acidez, final persistente;Vieiras gratinadas, tartar de salmão, bruschetta caprese, camarão na moranga, ceviche, queijos e embutidos.;Pinot Noir;N;709.9;0;0;'França' 'Espumante' 'Brut' 'Pinot Noir'
Champagne Veuve Clicquot Rosé Brut com Cake;0.0;R$834,90;França;Espumante;Brut;Chardonnay, Pinot Meunier, Pinot Noir;Veuve Clicquot;Morango, framboesa, amora, frutas secas, brioche;Estruturado, cremoso, frutado, boa acidez, final persistente;Vieiras gratinadas, tartar de salmão, bruschetta caprese, camarão na moranga, ceviche, queijos e embutidos.;Chardonnay;N;834.9;0;0;'França' 'Espumante' 'Brut' 'Chardonnay'
Espumante Carpineto Brut Rosé;4.0;R$119,90;Itália;Espumante;Brut;Canaiolo, Gewürztraminer, Sangiovese;Carpineto;Flores, frutas vermelhas, morango e um toque mineral;Frutado, cremoso, acidez equilibrada, refinado;Panetone com creme, carnes cozidas, bacalhau, risoto de camarão, tortellini in brodo, bruschetta caprese, carpaccio, peixe grelhado com legumes.;Canaiolo;N;119.9;0;0;'Itália' 'Espumante' 'Brut' 'Canaiolo'
Espumante LAncestrale Rouge Grenat Demi-Sec;4.5;R$59,91;França;Espumante;Meio Seco/Demi-Sec;Gamay (100%);Honoré Lavigne;Morango, amora e framboesa;Frutado, leve, acidez agradável, adocicado, com final que remete ao frescor de frutas silvestres;Mousse de frutas vermelhas com calda de hibisco, salada de frutas, espetinho de morango com chocolate, mil folhas com frutas vermelhas, merengue de framboesa, torradinha com geleia de amora.;Gamay;S;59.91;0;0;'França' 'Espumante' 'Meio Seco/Demi-Sec' 'Gamay'
Champagne Veuve Clicquot Vintage Brut 2008;0.0;R$725,90;França;Espumante;Brut;Pinot Noir (61%), Pinot Meunier (5%), Chardonnay (34%);Veuve Clicquot;Frutas secas, cítrico, tosta, especiarias;Elegante, complexo, bom corpo, cremoso, boa acidez, final longo;Caviar, ostras gratinadas, fettucine de pupunha com camarões glaceados, ceviche, lagosta grelhada na manteiga com trufas brancas, carpaccio de vieiras.;Pinot Noir;N;725.9;2008;0;'França' 'Espumante' 'Brut' 'Pinot Noir'
